assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,6,176,0,0,0,57249,0,0,-3,3,249.6,2,0,3,0.0,0.0,0,Henrikh,2.8,17,4,82.4,18,False,235.8,0,0,0,0,838,Foot injury - Expected back 09 Feb,2018-12-21T11:31:16Z,67,0,0,0,57249.jpg,3.6,0,0,Mkhitaryan,4.4,False,7,i,1,3,337.0,51,795643,34,1291495,5334,0.4,7.6,Mkhitaryan,0
0,0,0,0,0,0,200641,0,0,-1,1,0.0,0,0,3,0.0,0.0,0,Reiss,0.0,0,0,0.0,19,False,0.0,0,0,0,0,0,Season-long loan to Hoffenheim,2018-09-02T07:29:58Z,44,0,0,0,200641.jpg,0.0,0,0,Nelson,0.4,False,48,u,1,3,0.0,0,4090,0,31440,67,0.0,0.0,Nelson,0
0,0,20,100,100,0,154043,0,0,-1,1,16.1,0,0,3,0.2,1.2,1,Ainsley,0.7,3,0,9.8,20,False,37.4,0,0,0,0,160,,2018-08-12T16:01:12Z,44,0,0,0,154043.jpg,1.3,0,0,Maitland-Niles,0.2,False,15,a,1,3,44.0,5,6888,128,28699,126,0.2,1.1,Maitland-Niles,0
1,3,63,0,0,0,50175,0,0,0,0,56.8,0,0,4,0.0,0.0,0,Danny,0.0,3,1,19.5,21,False,73.6,0,0,0,0,146,Ankle injury - Unknown return date,2018-11-08T23:01:14Z,65,0,0,0,50175.jpg,2.4,0,0,Welbeck,0.5,False,23,i,1,3,66.0,19,28427,36,46974,165,0.0,2.9,Welbeck,0
8,11,284,75,75,2,59966,0,0,0,0,256.6,1,0,4,3.0,3.8,6,Alexandre,4.5,15,6,122.2,22,False,429.2,0,0,0,0,1193,,2018-11-25T13:01:16Z,95,0,0,0,59966.jpg,4.8,0,0,Lacazette,8.3,False,9,a,1,3,541.0,87,1327603,6078,1134949,17288,0.5,9.2,Lacazette,1
4,21,449,100,100,4,54694,0,0,5,-5,259.8,4,0,4,7.2,8.2,8,Pierre-Emerick,7.7,21,13,153.8,23,True,573.4,0,0,0,0,1480,,2018-11-18T23:31:16Z,115,0,0,0,54694.jpg,6.4,0,0,Aubameyang,36.7,False,14,a,1,3,706.0,121,2415713,25710,1332362,32191,0.7,10.5,Aubameyang,0
3,6,288,100,100,3,198849,0,0,2,-2,174.2,1,0,3,4.2,5.2,2,Lucas,4.7,18,2,62.4,450,False,318.2,0,0,0,0,1353,,2018-09-23T14:31:13Z,52,0,0,0,198849.jpg,2.9,0,0,Torreira,8.0,False,11,a,1,3,130.0,56,569724,6500,223075,21991,0.9,10.8,Torreira,4
0,0,163,100,100,1,242166,0,0,0,0,168.3,0,0,3,1.2,2.2,2,Matteo,1.7,17,0,38.3,451,False,166.8,0,0,0,0,1003,,2018-11-01T01:01:15Z,45,0,0,0,242166.jpg,1.4,0,0,Guendouzi,1.8,False,29,a,1,3,48.0,22,209224,1319,205512,1391,0.4,4.9,Guendouzi,4
0,0,0,None,None,0,98980,0,0,0,0,0.0,0,0,1,-0.5,0.5,0,Emiliano,0.0,0,0,0.0,542,False,0.0,0,0,0,0,0,,None,40,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,26,a,1,3,0.0,0,19368,217,7507,207,0.0,0.0,Martínez,0
0,0,0,0,0,0,209289,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Emile,0.0,0,0,0.0,545,False,0.0,0,0,0,0,0,Hip injury - Expected back 29 Dec,2018-12-18T13:31:15Z,45,0,0,0,209289.jpg,0.0,0,0,Smith-Rowe,0.0,False,55,i,1,3,0.0,0,423,3,328,10,0.0,0.0,Smith-Rowe,0
0,0,0,None,None,0,209037,0,0,0,0,0.0,0,0,2,-0.5,0.5,0,Zech,0.0,0,0,0.0,546,False,0.0,0,0,0,0,0,,None,40,0,0,0,209037.jpg,0.0,0,0,Medley,0.1,False,47,a,1,3,0.0,0,3705,72,2013,80,0.0,0.0,Medley,0
0,0,3,None,None,0,205533,0,0,0,0,0.0,0,0,4,-0.5,0.5,0,Edward,0.0,0,0,0.0,552,False,0.0,0,0,0,0,1,,None,50,0,0,0,205533.jpg,1.0,0,0,Nketiah,0.0,False,49,a,1,3,0.0,1,1113,53,700,38,0.0,0.2,Nketiah,0
0,0,0,None,None,0,223340,0,0,0,0,0.0,0,0,3,-0.5,0.5,0,Bukayo,0.0,0,0,0.0,563,False,0.0,0,0,0,0,0,,None,45,0,0,0,223340.jpg,0.0,0,0,Saka,0.0,False,87,a,1,3,0.0,0,101,28,37,16,0.0,0.0,Saka,0
0,0,0,None,None,0,200089,0,0,0,0,0.0,0,0,3,0.8,1.8,0,Joseph,0.0,0,0,0.0,566,False,0.0,0,0,0,0,0,,None,45,0,0,0,200089.jpg,0.0,0,0,Willock,0.0,False,59,a,1,3,0.0,0,6,6,2,2,0.0,0.0,Willock,0
0,4,315,100,100,5,40349,0,0,0,0,0.0,0,0,1,2.0,2.0,0,Asmir,2.5,33,0,39.0,24,False,388.0,0,0,0,0,1710,,2018-11-13T09:31:15Z,45,0,0,0,40349.jpg,3.1,0,53,Begovic,3.8,False,27,a,2,91,0.0,58,121767,389,167303,1776,0.6,12.9,Begovic,0
0,0,0,None,None,0,18726,0,0,0,0,0.0,0,0,1,-0.5,-0.5,0,Artur,0.0,0,0,0.0,25,False,0.0,0,0,0,0,0,,None,40,0,0,0,18726.jpg,0.0,0,0,Boruc,6.0,False,1,a,2,91,0.0,0,81402,457,141643,1256,0.0,0.0,Boruc,0
2,0,244,25,100,4,15149,0,0,-1,1,173.3,0,0,2,0.3,1.3,0,Simon,1.8,24,0,54.4,26,False,332.4,0,0,0,0,1227,Knee injury - 25% chance of playing,2018-12-26T18:01:16Z,44,0,0,0,15149.jpg,2.4,0,0,Francis,0.4,False,2,d,2,91,39.0,40,25094,83,29703,1098,0.4,9.1,Francis,1
1,4,330,None,None,5,56917,0,0,0,0,55.6,1,0,2,0.8,0.8,0,Steve,1.3,33,1,66.3,27,False,460.8,0,0,0,0,1710,,None,45,1,0,0,56917.jpg,2.8,0,0,Cook,7.3,False,3,a,2,91,147.0,53,693759,693,442735,8773,0.3,11.8,Steve Cook,2
0,0,180,100,100,3,41320,0,0,-3,3,164.2,0,0,2,1.0,1.0,0,Charlie,1.5,21,0,45.5,28,False,194.4,0,0,0,0,1042,,2018-10-27T14:01:13Z,42,0,0,0,41320.jpg,2.2,0,0,Daniels,4.2,False,11,a,2,91,97.0,26,75341,438,700192,2058,0.4,6.2,Daniels,2
0,0,184,0,0,4,54469,0,0,-1,1,70.2,0,0,2,0.0,0.0,0,Adam,0.0,12,1,29.4,29,False,172.4,0,0,0,0,965,Knee injury - Expected back 23 Feb,2018-11-10T17:31:13Z,44,0,0,0,54469.jpg,3.1,1,0,Smith,0.4,False,15,i,2,91,51.0,37,60103,8,75161,391,0.0,8.4,Adam Smith,1
0,0,38,100,100,0,149484,0,0,-2,2,16.3,0,0,2,0.2,0.2,0,Tyrone,0.7,4,0,6.8,30,False,48.6,0,0,0,0,133,,2018-12-15T17:01:15Z,43,0,0,0,149484.jpg,1.0,0,0,Mings,0.1,False,26,a,2,91,2.0,4,1876,34,7159,57,0.2,0.9,Mings,0
0,5,328,100,100,5,126184,0,0,0,0,24.5,0,0,2,1.2,1.2,0,Nathan,1.7,33,1,68.5,31,False,475.6,0,0,0,0,1710,,2018-08-05T11:01:10Z,50,0,0,0,126184.jpg,2.8,0,0,Aké,4.4,False,5,a,2,91,185.0,53,207367,434,200233,5158,0.3,10.6,Aké,2
0,0,0,None,None,0,222434,0,0,-2,2,0.0,0,0,2,-0.5,-0.5,0,Jack,0.0,0,0,0.0,32,False,0.0,0,0,0,0,0,,None,38,0,0,0,222434.jpg,0.0,0,0,Simpson,4.1,False,25,a,2,91,0.0,0,74354,2207,171797,1351,0.0,0.0,Simpson,0
